bps_2009,Label,Label_edit,label_final,region_type,provinsi,pulau
6309,09. Tabalong,tabalong,tabalong,kabupaten,kalimantan selatan,kalimantan
6310,10. Tanah Bumbu,tanah bumbu,tanah bumbu,kabupaten,kalimantan selatan,kalimantan
6311,11. Balangan,balangan,balangan,kabupaten,kalimantan selatan,kalimantan
6371,71. Banjarmasin,banjarmasin,banjarmasin,kota,kalimantan selatan,kalimantan
6372,72. Banjar Baru,banjar baru,banjar baru,kota,kalimantan selatan,kalimantan
6401,01. Paser,paser,paser,kabupaten,kalimantan timur,kalimantan
6402,02. Kutai Barat,kutai barat,kutai barat,kabupaten,kalimantan timur,kalimantan
6403,03. Kutai Kartanegara,kutai kartanegara,kutai kartanegara,kabupaten,kalimantan timur,kalimantan
6404,04. Kutai Timur,kutai timur,kutai timur,kabupaten,kalimantan timur,kalimantan
6405,05. Berau,berau,berau,kabupaten,kalimantan timur,kalimantan
6406,06. Malinau,malinau,malinau,kabupaten,kalimantan utara,kalimantan
6407,07. Bulungan,bulungan,bulungan,kabupaten,kalimantan utara,kalimantan
6408,08. Nunukan,nunukan,nunukan,kabupaten,kalimantan utara,kalimantan
6409,09. Penajam Paser Utara,penajam paser utara,penajam paser utara,kabupaten,kalimantan timur,kalimantan
6410,10. Tana Tidung,tana tidung,tana tidung,kabupaten,kalimantan utara,kalimantan
6471,71. Balikpapan,balikpapan,balikpapan,kota,kalimantan timur,kalimantan
6472,72. Samarinda,samarinda,samarinda,kota,kalimantan timur,kalimantan
6473,73. Tarakan,tarakan,tarakan,kota,kalimantan utara,kalimantan
6474,74. Bontang,bontang,bontang,kota,kalimantan timur,kalimantan
7101,01. Bolaang Mongondow,bolaang mongondow,bolaang mongondow,kabupaten,sulawesi utara,sulawesi
7102,02. Minahasa,minahasa,minahasa,kabupaten,sulawesi utara,sulawesi
7103,03. Kepulauan Sangihe,kepulauan sangihe,kepulauan sangihe,kabupaten,sulawesi utara,sulawesi
7104,04. Kepulauan Talaud,kepulauan talaud,kepulauan talaud,kabupaten,sulawesi utara,sulawesi
7105,05. Minahasa Selatan,minahasa selatan,minahasa selatan,kabupaten,sulawesi utara,sulawesi
7106,06. Minahasa Utara,minahasa utara,minahasa utara,kabupaten,sulawesi utara,sulawesi
7107,07. Bolaang Mongondow Utara,bolaang mongondow utara,bolaang mongondow utara,kabupaten,sulawesi utara,sulawesi
7108,08. Siau Tagulandang Biaro,siau tagulandang biaro,siau tagulandang biaro,kabupaten,sulawesi utara,sulawesi
7109,09. Minahasa Tenggara,minahasa tenggara,minahasa tenggara,kabupaten,sulawesi utara,sulawesi
7110,10. Bolaang Mongondow Selatan,bolaang mongondow selatan,bolaang mongondow selatan,kabupaten,sulawesi utara,sulawesi
7111,11. Bolaang Mongondow Timur,bolaang mongondow timur,bolaang mongondow timur,kabupaten,sulawesi utara,sulawesi
7171,71. Manado,manado,manado,kota,sulawesi utara,sulawesi
7172,72. Bitung,bitung,bitung,kota,sulawesi utara,sulawesi
7173,73. Tomohon,tomohon,tomohon,kota,sulawesi utara,sulawesi
7174,74. Kotamobagu,kotamobagu,kotamobagu,kota,sulawesi utara,sulawesi
7201,01. Banggai Kepulauan,banggai kepulauan,banggai kepulauan,kabupaten,sulawesi tengah,sulawesi
7202,02. Banggai,banggai,banggai,kabupaten,sulawesi tengah,sulawesi
7203,03. Morowali,morowali,morowali,kabupaten,sulawesi tengah,sulawesi
7204,04. Poso,poso,poso,kabupaten,sulawesi tengah,sulawesi
7205,05. Donggala,donggala,donggala,kabupaten,sulawesi tengah,sulawesi
7206,06. Toli-Toli,toli-toli,toli-toli,kabupaten,sulawesi tengah,sulawesi
7207,07. Buol,buol,buol,kabupaten,sulawesi tengah,sulawesi
7208,08. Parigi Moutong,parigi moutong,parigi moutong,kabupaten,sulawesi tengah,sulawesi
7209,09. Tojo Una-Una,tojo una-una,tojo una-una,kabupaten,sulawesi tengah,sulawesi
7210,10. Sigi,sigi,sigi,kabupaten,sulawesi tengah,sulawesi
7271,71. Palu,palu,palu,kota,sulawesi tengah,sulawesi
7301,01. Selayar,selayar,selayar,kabupaten,sulawesi selatan,sulawesi
7302,02. Bulukumba,bulukumba,bulukumba,kabupaten,sulawesi selatan,sulawesi
7303,03. Bantaeng,bantaeng,bantaeng,kabupaten,sulawesi selatan,sulawesi
7304,04. Jeneponto,jeneponto,jeneponto,kabupaten,sulawesi selatan,sulawesi
7305,05. Takalar,takalar,takalar,kabupaten,sulawesi selatan,sulawesi
7306,06. Gowa,gowa,gowa,kabupaten,sulawesi selatan,sulawesi
7307,07. Sinjai,sinjai,sinjai,kabupaten,sulawesi selatan,sulawesi
7308,08. Maros,maros,maros,kabupaten,sulawesi selatan,sulawesi
7309,09. Pangkajene Dan Kepulauan,pangkajene dan kepulauan,pangkajene dan kepulauan,kabupaten,sulawesi selatan,sulawesi
7310,10. Barru,barru,barru,kabupaten,sulawesi selatan,sulawesi
7311,11. Bone,bone,bone,kabupaten,sulawesi selatan,sulawesi
7312,12. Soppeng,soppeng,soppeng,kabupaten,sulawesi selatan,sulawesi
7313,13. Wajo,wajo,wajo,kabupaten,sulawesi selatan,sulawesi
7314,14. Sidenreng Rappang,sidenreng rappang,sidenreng rappang,kabupaten,sulawesi selatan,sulawesi
7315,15. Pinrang,pinrang,pinrang,kabupaten,sulawesi selatan,sulawesi
7316,16. Enrekang,enrekang,enrekang,kabupaten,sulawesi selatan,sulawesi
7317,17. Luwu,luwu,luwu,kabupaten,sulawesi selatan,sulawesi
7318,18. Tana Toraja,tana toraja,tana toraja,kabupaten,sulawesi selatan,sulawesi
7322,22. Luwu Utara,luwu utara,luwu utara,kabupaten,sulawesi selatan,sulawesi
7325,25. Luwu Timur,luwu timur,luwu timur,kabupaten,sulawesi selatan,sulawesi
7326,26. Toraja Utara,toraja utara,toraja utara,kabupaten,sulawesi selatan,sulawesi
7371,71. Makassar,makassar,makassar,kota,sulawesi selatan,sulawesi
7372,72. Pare-Pare,pare-pare,pare-pare,kabupaten,sulawesi selatan,sulawesi
7373,73. Palopo,palopo,palopo,kota,sulawesi selatan,sulawesi
7401,01. Buton,buton,buton,kabupaten,sulawesi tenggara,sulawesi
7402,02. Muna,muna,muna,kabupaten,sulawesi tenggara,sulawesi
7403,03. Konawe,konawe,konawe,kabupaten,sulawesi tenggara,sulawesi
7404,04. Kolaka,kolaka,kolaka,kabupaten,sulawesi tenggara,sulawesi
7405,05. Konawe Selatan,konawe selatan,konawe selatan,kabupaten,sulawesi tenggara,sulawesi
7406,06. Bombana,bombana,bombana,kabupaten,sulawesi tenggara,sulawesi
7407,07. Wakatobi,wakatobi,wakatobi,kabupaten,sulawesi tenggara,sulawesi
7408,08. Kolaka Utara,kolaka utara,kolaka utara,kabupaten,sulawesi tenggara,sulawesi
7409,09. Buton Utara,buton utara,buton utara,kabupaten,sulawesi tenggara,sulawesi
7410,10. Konawe Utara,konawe utara,konawe utara,kabupaten,sulawesi tenggara,sulawesi
7471,71. Kendari,kendari,kendari,kota,sulawesi tenggara,sulawesi
7472,72. Bau-Bau,bau-bau,bau-bau,kota,sulawesi tenggara,sulawesi
7501,01. Boalemo,boalemo,boalemo,kabupaten,gorontalo,sulawesi
7502,02. Gorontalo,gorontalo,gorontalo,provinsi,gorontalo,sulawesi
7503,03. Pohuwato,pohuwato,pohuwato,kabupaten,gorontalo,sulawesi
7504,04. Bone Bolango,bone bolango,bone bolango,kabupaten,gorontalo,sulawesi
7505,05. Gorontalo Utara,gorontalo utara,gorontalo utara,kabupaten,gorontalo,sulawesi
7571,71. Gorontalo,gorontalo,gorontalo,kota,gorontalo,sulawesi
7601,01. Majene,majene,majene,kabupaten,sulawesi barat,sulawesi
7602,02. Polewali Mandar,polewali mandar,polewali mandar,kabupaten,sulawesi barat,sulawesi
7603,03. Mamasa,mamasa,mamasa,kabupaten,sulawesi barat,sulawesi
7604,04. Mamuju,mamuju,mamuju,kabupaten,sulawesi barat,sulawesi
7605,05. Mamuju Utara,mamuju utara,mamuju utara,kabupaten,sulawesi barat,sulawesi
8101,01. Maluku Tenggara Barat,maluku tenggara barat,maluku tenggara barat,kabupaten,maluku,maluku
8102,02. Maluku Tenggara,maluku tenggara,maluku tenggara,kabupaten,maluku,maluku
8103,03. Maluku Tengah,maluku tengah,maluku tengah,kabupaten,maluku,maluku
8104,04. Buru,buru,buru,kabupaten,maluku,maluku
8105,05. Kepulauan Aru,kepulauan aru,kepulauan aru,kabupaten,maluku,maluku
8106,06. Seram Bagian Barat,seram bagian barat,seram bagian barat,kabupaten,maluku,maluku
8107,07. Seram Bagian Timur,seram bagian timur,seram bagian timur,kabupaten,maluku,maluku
8108,08. Maluku Barat Daya,maluku barat daya,maluku barat daya,kabupaten,maluku,maluku
8109,09. Buru Selatan,buru selatan,buru selatan,kabupaten,maluku,maluku
8171,71. Ambon,ambon,ambon,kota,maluku,maluku
8172,72. Tual,tual,tual,kota,maluku,maluku
8201,01. Halmahera Barat,halmahera barat,halmahera barat,kabupaten,maluku utara,maluku
8202,02. Halmahera Tengah,halmahera tengah,halmahera tengah,kabupaten,maluku utara,maluku
8203,03. Kepulauan Sula,kepulauan sula,kepulauan sula,kabupaten,maluku utara,maluku
8204,04. Halmahera Selatan,halmahera selatan,halmahera selatan,kabupaten,maluku utara,maluku
8205,05. Halmahera Utara,halmahera utara,halmahera utara,kabupaten,maluku utara,maluku
8206,06. Halmahera Timur,halmahera timur,halmahera timur,kabupaten,maluku utara,maluku
8207,07. Pulau Morotai,pulau morotai,pulau morotai,kabupaten,maluku utara,maluku
8271,71. Ternate,ternate,ternate,kota,maluku utara,maluku
8272,72. Tidore Kepulauan,tidore kepulauan,tidore kepulauan,kota,maluku utara,maluku
9101,01. Fakfak,fakfak,fak fak,kabupaten,papua barat,papua
9102,02. Kaimana,kaimana,kaimana,kabupaten,papua barat,papua
9103,03. Teluk Wondama,teluk wondama,teluk wondama,kabupaten,papua barat,papua
9104,04. Teluk Bintuni,teluk bintuni,teluk bintuni,kabupaten,papua barat,papua
9105,05. Manokwari,manokwari,manokwari,kabupaten,papua barat,papua
9106,06. Sorong Selatan,sorong selatan,sorong selatan,kabupaten,papua barat,papua
9107,07. Sorong,sorong,sorong,kabupaten,papua barat,papua
9108,08. Raja Ampat,raja ampat,raja ampat,kabupaten,papua barat,papua
9109,09. Tambrauw,tambrauw,tambrauw,kabupaten,papua barat,papua
9110,10. Maybrat,maybrat,maybrat,kabupaten,papua barat,papua
9171,71. Sorong,sorong,sorong,kabupaten,papua barat,papua
9401,01. Merauke,merauke,merauke,kabupaten,papua,papua
9402,02. Jayawijaya,jayawijaya,jayawijaya,kabupaten,papua,papua
9403,03. Jayapura,jayapura,jayapura,kabupaten,papua,papua
9404,04. Nabire,nabire,nabire,kabupaten,papua,papua
9408,08. Kepulauan Yapen,kepulauan yapen,kepulauan yapen,kabupaten,papua,papua
9409,09. Biak Numfor,biak numfor,biak numfor,kabupaten,papua,papua
9410,10. Paniai,paniai,paniai,kabupaten,papua,papua
9411,11. Puncak Jaya,puncak jaya,puncak jaya,kabupaten,papua,papua
9412,12. Mimika,mimika,mimika,kabupaten,papua,papua
9413,13. Boven Digoel,boven digoel,boven digoel,kabupaten,papua,papua
9414,14. Mappi,mappi,mappi,kabupaten,papua,papua
9415,15. Asmat,asmat,asmat,kabupaten,papua,papua
9416,16. Yahukimo,yahukimo,yahukimo,kabupaten,papua,papua
9417,17. Pegunungan Bintang,pegunungan bintang,pegunungan bintang,kabupaten,papua,papua
9418,18. Tolikara,tolikara,tolikara,kabupaten,papua,papua
9419,19. Sarmi,sarmi,sarmi,kabupaten,papua,papua
9420,20. Keerom,keerom,keerom,kabupaten,papua,papua
9426,26. Waropen,waropen,waropen,kabupaten,papua,papua
9427,27. Supiori,supiori,supiori,kabupaten,papua,papua
9428,28. Mamberamo Raya,mamberamo raya,mamberamo raya,kabupaten,papua,papua
9429,29. Nduga,nduga,nduga,kabupaten,papua,papua
9430,30. Lanny Jaya,lanny jaya,lanny jaya,kabupaten,papua,papua
9431,31. Mamberamo Tengah,mamberamo tengah,mamberamo tengah,kabupaten,papua,papua
9432,32. Yalimo,yalimo,yalimo,kabupaten,papua,papua
9433,33. Puncak,puncak,puncak,kabupaten,papua,papua
9434,34. Dogiyai,dogiyai,dogiyai,kabupaten,papua,papua
9435,35. Intan Jaya,intan jaya,intan jaya,kabupaten,papua,papua
9436,36. Deiyai,deiyai,deiyai,kabupaten,papua,papua
9471,71. Jayapura,jayapura,jayapura,kabupaten,papua,papua
